epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,675.496,0.90144,1.4722,1.13854,0.44118,0.44672,0.46932,0.26383,1.75416,2.89773,2.2028,5.6055e-05,5.6055e-05,5.6055e-05
52,689.558,0.93419,1.47795,1.14033,0.46814,0.44601,0.45702,0.25861,1.74722,2.99594,2.2092,5.49561e-05,5.49561e-05,5.49561e-05
53,702.255,0.92961,1.47514,1.1557,0.45435,0.44286,0.46679,0.25848,1.78648,3.12168,2.24111,5.38572e-05,5.38572e-05,5.38572e-05
54,715.013,0.95125,1.49331,1.16418,0.44815,0.46028,0.47528,0.26202,1.79679,3.03214,2.24002,5.27583e-05,5.27583e-05,5.27583e-05
55,727.595,0.89305,1.4287,1.13572,0.44449,0.46915,0.47794,0.27604,1.73139,2.97749,2.20963,5.16594e-05,5.16594e-05,5.16594e-05
56,740.234,0.90694,1.41636,1.13245,0.41475,0.4738,0.46508,0.25944,1.7379,2.92687,2.23305,5.05605e-05,5.05605e-05,5.05605e-05
57,752.85,0.93296,1.41701,1.13598,0.4363,0.46241,0.45604,0.25864,1.74818,2.91529,2.22832,4.94616e-05,4.94616e-05,4.94616e-05
58,765.459,0.86098,1.3641,1.11995,0.44481,0.44584,0.44009,0.24561,1.74997,3.0059,2.23663,4.83627e-05,4.83627e-05,4.83627e-05
59,778.135,0.87958,1.35493,1.12171,0.45655,0.45953,0.4449,0.2476,1.73839,3.01484,2.20867,4.72638e-05,4.72638e-05,4.72638e-05
60,790.573,0.85434,1.35048,1.11024,0.45034,0.45119,0.44604,0.24489,1.76956,2.96932,2.22731,4.61649e-05,4.61649e-05,4.61649e-05
61,803.068,0.88831,1.38244,1.11589,0.4506,0.41635,0.44075,0.24682,1.80264,2.97473,2.24984,4.5066e-05,4.5066e-05,4.5066e-05
62,815.552,0.85552,1.33474,1.11635,0.45516,0.43802,0.45432,0.26289,1.8019,3.03081,2.25935,4.39671e-05,4.39671e-05,4.39671e-05
63,828.132,0.86855,1.4042,1.1352,0.43788,0.45162,0.45491,0.25825,1.78536,2.98377,2.23734,4.28682e-05,4.28682e-05,4.28682e-05
64,840.93,0.87445,1.34358,1.1242,0.48223,0.44751,0.45605,0.2572,1.75246,2.90089,2.20904,4.17693e-05,4.17693e-05,4.17693e-05
65,853.472,0.87015,1.32803,1.13283,0.45662,0.47353,0.45259,0.25923,1.78318,2.94695,2.23572,4.06704e-05,4.06704e-05,4.06704e-05
66,866.02,0.8407,1.33935,1.11027,0.46631,0.44264,0.45249,0.26361,1.77938,2.98125,2.25167,3.95715e-05,3.95715e-05,3.95715e-05
67,878.594,0.84217,1.34464,1.10567,0.43721,0.46583,0.4577,0.26592,1.75154,2.91632,2.23704,3.84726e-05,3.84726e-05,3.84726e-05
68,891.294,0.83807,1.34768,1.11448,0.47461,0.44012,0.46888,0.26137,1.76334,2.93995,2.26874,3.73737e-05,3.73737e-05,3.73737e-05
69,904.437,0.84035,1.30209,1.10878,0.49011,0.45481,0.47953,0.26796,1.77408,2.92586,2.25809,3.62748e-05,3.62748e-05,3.62748e-05
70,916.968,0.89223,1.33266,1.1091,0.49687,0.45365,0.47713,0.27092,1.77026,2.89098,2.25042,3.51759e-05,3.51759e-05,3.51759e-05
71,929.601,0.84774,1.30208,1.10565,0.49086,0.46025,0.4593,0.27052,1.77531,2.90455,2.23344,3.4077e-05,3.4077e-05,3.4077e-05
72,942.228,0.8565,1.27021,1.1023,0.53157,0.4549,0.46918,0.27497,1.75835,2.97875,2.20348,3.29781e-05,3.29781e-05,3.29781e-05
73,954.929,0.83442,1.25674,1.07403,0.5045,0.46582,0.46275,0.27385,1.76579,3.0552,2.22781,3.18792e-05,3.18792e-05,3.18792e-05
74,967.473,0.80488,1.25396,1.07864,0.49571,0.44765,0.46331,0.27533,1.76959,2.99259,2.2086,3.07803e-05,3.07803e-05,3.07803e-05
75,980.166,0.82522,1.27294,1.09804,0.48276,0.46582,0.47036,0.27413,1.76628,2.926,2.20553,2.96814e-05,2.96814e-05,2.96814e-05
76,993.146,0.83016,1.26999,1.1044,0.46323,0.45817,0.46516,0.26926,1.78085,2.99218,2.24047,2.85825e-05,2.85825e-05,2.85825e-05
77,1005.75,0.86182,1.32808,1.11684,0.45016,0.46486,0.45956,0.26082,1.78265,2.98484,2.24056,2.74836e-05,2.74836e-05,2.74836e-05
78,1018.07,0.84899,1.31173,1.11974,0.46008,0.4652,0.45903,0.2604,1.76727,3.01526,2.21149,2.63847e-05,2.63847e-05,2.63847e-05
79,1030.33,0.83014,1.24865,1.08687,0.44838,0.4624,0.4585,0.25676,1.76035,3.04895,2.21018,2.52858e-05,2.52858e-05,2.52858e-05
80,1042.68,0.81131,1.24346,1.08623,0.43772,0.45822,0.45053,0.25763,1.75758,3.01766,2.20284,2.41869e-05,2.41869e-05,2.41869e-05
81,1055.03,0.85288,1.28115,1.0899,0.43638,0.46446,0.45576,0.26428,1.73896,2.98558,2.19576,2.3088e-05,2.3088e-05,2.3088e-05
82,1067.64,0.84912,1.31229,1.09978,0.44883,0.46546,0.46334,0.27102,1.74475,2.94948,2.19185,2.19891e-05,2.19891e-05,2.19891e-05
83,1080.22,0.80095,1.21612,1.08223,0.44425,0.46582,0.4586,0.26909,1.74505,2.95394,2.18602,2.08902e-05,2.08902e-05,2.08902e-05
84,1092.69,0.80505,1.26773,1.09014,0.47287,0.46119,0.45752,0.26715,1.76368,2.93941,2.18358,1.97913e-05,1.97913e-05,1.97913e-05
85,1105.09,0.84597,1.28056,1.10306,0.45498,0.47015,0.46112,0.26658,1.79203,2.92558,2.19993,1.86924e-05,1.86924e-05,1.86924e-05
86,1117.62,0.82527,1.26146,1.10317,0.43117,0.45808,0.46302,0.26671,1.82735,2.96003,2.21371,1.75935e-05,1.75935e-05,1.75935e-05
87,1130.09,0.83212,1.23805,1.08385,0.43652,0.47152,0.46426,0.26259,1.79486,2.98642,2.20646,1.64946e-05,1.64946e-05,1.64946e-05
88,1142.55,0.81045,1.23666,1.08742,0.44675,0.44372,0.46502,0.27434,1.79718,2.99561,2.22459,1.53957e-05,1.53957e-05,1.53957e-05
89,1155.06,0.80927,1.21866,1.07978,0.44888,0.45279,0.46826,0.27472,1.78067,2.94596,2.23174,1.42968e-05,1.42968e-05,1.42968e-05
90,1168.5,0.82195,1.22538,1.08342,0.48147,0.44863,0.46433,0.26978,1.7747,2.91763,2.21275,1.31979e-05,1.31979e-05,1.31979e-05
91,1205.47,0.7201,1.3622,1.04484,0.46021,0.44978,0.45745,0.26213,1.88912,3.04884,2.30919,1.2099e-05,1.2099e-05,1.2099e-05
92,1217.78,0.74357,1.33656,1.04418,0.4767,0.43409,0.45324,0.2493,1.90624,3.02265,2.32894,1.10001e-05,1.10001e-05,1.10001e-05
93,1230.1,0.73615,1.38255,1.04506,0.44716,0.45635,0.45265,0.2441,1.90439,3.01812,2.30633,9.9012e-06,9.9012e-06,9.9012e-06
94,1242.31,0.72627,1.3354,1.04596,0.46758,0.43426,0.46438,0.25667,1.91135,3.0758,2.32198,8.8023e-06,8.8023e-06,8.8023e-06
95,1254.65,0.70367,1.30759,1.04386,0.49347,0.44858,0.47049,0.26089,1.89127,3.07838,2.30711,7.7034e-06,7.7034e-06,7.7034e-06
96,1266.89,0.70855,1.29917,1.04272,0.50124,0.45264,0.47112,0.25844,1.91653,3.06208,2.3235,6.6045e-06,6.6045e-06,6.6045e-06
97,1279.1,0.69942,1.31787,1.03156,0.4808,0.44097,0.47564,0.26034,1.90026,3.03957,2.30599,5.5056e-06,5.5056e-06,5.5056e-06
98,1291.55,0.70785,1.30079,1.03348,0.47341,0.44077,0.47056,0.25443,1.90693,3.03207,2.32196,4.4067e-06,4.4067e-06,4.4067e-06
99,1303.96,0.69148,1.31571,1.03206,0.47681,0.43782,0.46983,0.26405,1.87855,3.03557,2.28423,3.3078e-06,3.3078e-06,3.3078e-06
100,1316.49,0.70358,1.31625,1.04367,0.51933,0.41291,0.47646,0.25987,1.90733,3.06831,2.31523,2.2089e-06,2.2089e-06,2.2089e-06
