epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1573.78,0.52449,0.41912,0.94035,0.5534,0.4715,0.5357,0.31706,1.67783,3.25713,2.02428,1.86924e-05,1.86924e-05,1.86924e-05
86,1591.61,0.49921,0.40489,0.93389,0.57526,0.47202,0.53773,0.31763,1.67228,3.27507,2.01809,1.75935e-05,1.75935e-05,1.75935e-05
87,1609.36,0.50839,0.40575,0.92498,0.54272,0.46809,0.53874,0.32729,1.65414,3.24933,2.01438,1.64946e-05,1.64946e-05,1.64946e-05
88,1627.32,0.49124,0.39663,0.91802,0.54143,0.47921,0.52658,0.32241,1.65013,3.25348,2.00806,1.53957e-05,1.53957e-05,1.53957e-05
89,1645.11,0.50302,0.40257,0.93314,0.54689,0.48012,0.53532,0.32448,1.62904,3.23784,1.99021,1.42968e-05,1.42968e-05,1.42968e-05
90,1662.83,0.4981,0.4047,0.92736,0.53641,0.48429,0.52545,0.32491,1.64812,3.23841,2.00628,1.31979e-05,1.31979e-05,1.31979e-05
91,1707.95,0.39889,0.30939,0.86156,0.52667,0.49329,0.52226,0.31955,1.74038,3.44794,2.07553,1.2099e-05,1.2099e-05,1.2099e-05
92,1725.44,0.41267,0.30989,0.85229,0.5289,0.49632,0.5202,0.31207,1.75631,3.39479,2.084,1.10001e-05,1.10001e-05,1.10001e-05
93,1743.01,0.39643,0.30305,0.85568,0.51187,0.49625,0.51837,0.3122,1.76739,3.37087,2.10125,9.9012e-06,9.9012e-06,9.9012e-06
94,1760.64,0.39534,0.30059,0.84464,0.51242,0.48504,0.5196,0.30861,1.74541,3.34323,2.07079,8.8023e-06,8.8023e-06,8.8023e-06
95,1778.65,0.3831,0.28615,0.84813,0.52513,0.484,0.52003,0.31178,1.72976,3.33739,2.06782,7.7034e-06,7.7034e-06,7.7034e-06
96,1796.31,0.39319,0.29982,0.85645,0.53057,0.484,0.52416,0.3169,1.73537,3.32878,2.08227,6.6045e-06,6.6045e-06,6.6045e-06
97,1813.9,0.37888,0.28925,0.85118,0.5292,0.484,0.5284,0.32037,1.71337,3.30022,2.04889,5.5056e-06,5.5056e-06,5.5056e-06
98,1831.45,0.38695,0.29437,0.84303,0.53019,0.48128,0.5287,0.31852,1.7043,3.28086,2.04219,4.4067e-06,4.4067e-06,4.4067e-06
99,1848.93,0.38216,0.28978,0.85052,0.53157,0.48245,0.53166,0.32644,1.70445,3.2705,2.04234,3.3078e-06,3.3078e-06,3.3078e-06
100,1866.62,0.37849,0.2866,0.85699,0.52765,0.48107,0.52697,0.31994,1.71023,3.28823,2.04826,2.2089e-06,2.2089e-06,2.2089e-06
